update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|8.33.136.0/24|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|5.196.0.0/16|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|23.92.224.0/19|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|37.187.0.0/16|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|5.39.0.0/17|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|5.135.0.0/16|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|37.60.48.0/21|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|37.59.0.0/16|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|37.60.56.0/21|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|46.105.202.0/24|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|46.105.203.0/24|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|46.105.200.0/24|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|46.105.198.0/24|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|46.105.199.0/24|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|46.105.201.0/24|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|46.105.204.0/24|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
