update|A|1634125857.000000|ris|rrc22|None|None|57050|86.104.125.53|15.235.0.0/17|86.104.125.53|57050 8708 16276|8708:302|None|None
update|A|1634125857.000000|ris|rrc22|None|None|57050|86.104.125.53|15.204.128.0/17|86.104.125.53|57050 8708 16276|8708:302|None|None
update|A|1634125857.000000|ris|rrc22|None|None|57050|86.104.125.53|15.204.0.0/17|86.104.125.53|57050 8708 16276|8708:302|None|None
update|A|1634125857.000000|ris|rrc22|None|None|57050|86.104.125.53|8.33.137.0/24|86.104.125.53|57050 8708 16276|8708:302|None|None
update|A|1634125857.000000|ris|rrc22|None|None|57050|86.104.125.53|8.33.136.0/24|86.104.125.53|57050 8708 16276|8708:302|None|None
update|A|1634125857.000000|ris|rrc22|None|None|57050|86.104.125.53|8.33.128.0/21|86.104.125.53|57050 8708 16276|8708:302|None|None
update|A|1634125857.000000|ris|rrc22|None|None|57050|86.104.125.53|8.33.96.0/21|86.104.125.53|57050 8708 16276|8708:302|None|None
update|A|1634125857.000000|ris|rrc22|None|None|57050|86.104.125.53|8.30.208.0/21|86.104.125.53|57050 8708 16276|8708:302|None|None
update|A|1634125857.000000|ris|rrc22|None|None|57050|86.104.125.53|8.29.224.0/24|86.104.125.53|57050 8708 16276|8708:302|None|None
update|A|1634125857.000000|ris|rrc22|None|None|57050|86.104.125.53|8.26.94.0/24|86.104.125.53|57050 8708 16276|8708:302|None|None
update|A|1634125857.000000|ris|rrc22|None|None|57050|86.104.125.53|8.24.8.0/21|86.104.125.53|57050 8708 16276|8708:302|None|None
update|A|1634125857.000000|ris|rrc22|None|None|57050|86.104.125.53|8.21.41.0/24|86.104.125.53|57050 8708 16276|8708:302|None|None
update|A|1634125857.000000|ris|rrc22|None|None|57050|86.104.125.53|8.20.110.0/24|86.104.125.53|57050 8708 16276|8708:302|None|None
update|A|1634125857.000000|ris|rrc22|None|None|57050|86.104.125.53|8.18.172.0/24|86.104.125.53|57050 8708 16276|8708:302|None|None
update|A|1634125857.000000|ris|rrc22|None|None|57050|86.104.125.53|8.18.128.0/24|86.104.125.53|57050 8708 16276|8708:302|None|None
update|A|1634125857.000000|ris|rrc22|None|None|57050|86.104.125.53|8.7.244.0/24|86.104.125.53|57050 8708 16276|8708:302|None|None
update|A|1634125857.000000|ris|rrc22|None|None|57050|86.104.125.53|5.196.0.0/16|86.104.125.53|57050 8708 16276|8708:302|None|None
update|A|1634125857.000000|ris|rrc22|None|None|57050|86.104.125.53|5.135.0.0/16|86.104.125.53|57050 8708 16276|8708:302|None|None
update|A|1634125857.000000|ris|rrc22|None|None|57050|86.104.125.53|15.235.128.0/17|86.104.125.53|57050 8708 3356 2914 16276|8708:44090|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|5.39.0.0/17|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|8.7.244.0/24|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|8.18.128.0/24|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|8.18.172.0/24|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|8.20.110.0/24|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|8.26.94.0/24|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|8.33.136.0/24|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|37.59.0.0/16|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|37.60.48.0/21|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|37.60.56.0/21|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|37.187.0.0/16|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|46.105.0.0/16|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|46.105.198.0/24|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|46.105.199.0/24|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|46.105.200.0/24|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|46.105.201.0/24|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|46.105.202.0/24|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|46.105.203.0/24|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|46.244.32.0/20|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
